Kernel,Metric,Configuration,Value
_Z17copy_const_kernelPfS_,tex_utilization,./heat_globalmem.out_tex_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,inst_fp_32,./heat_globalmem.out_inst_fp_32_heat_globalmem.out,29360128
_Z14float_to_colorPhPKf,inst_fp_32,./heat_globalmem.out_inst_fp_32_heat_globalmem.out,85562981
_Z17copy_const_kernelPfS_,inst_fp_32,./heat_globalmem.out_inst_fp_32_heat_globalmem.out,4194304
_Z12blend_kernelPfbS_S_,gst_transactions,./heat_globalmem.out_gst_transactions_heat_globalmem.out,1048576
_Z14float_to_colorPhPKf,gst_transactions,./heat_globalmem.out_gst_transactions_heat_globalmem.out,24862732
_Z17copy_const_kernelPfS_,gst_transactions,./heat_globalmem.out_gst_transactions_heat_globalmem.out,24254
_Z12blend_kernelPfbS_S_,inst_misc,./heat_globalmem.out_inst_misc_heat_globalmem.out,717250560
_Z14float_to_colorPhPKf,inst_misc,./heat_globalmem.out_inst_misc_heat_globalmem.out,1346814940
_Z17copy_const_kernelPfS_,inst_misc,./heat_globalmem.out_inst_misc_heat_globalmem.out,185613230
_Z12blend_kernelPfbS_S_,cf_fu_utilization,./heat_globalmem.out_cf_fu_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,cf_fu_utilization,./heat_globalmem.out_cf_fu_utilization_heat_globalmem.out,2
_Z17copy_const_kernelPfS_,cf_fu_utilization,./heat_globalmem.out_cf_fu_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,warp_execution_efficiency,./heat_globalmem.out_warp_execution_efficiency_heat_globalmem.out,49.9927
_Z14float_to_colorPhPKf,warp_execution_efficiency,./heat_globalmem.out_warp_execution_efficiency_heat_globalmem.out,49.8701
_Z17copy_const_kernelPfS_,warp_execution_efficiency,./heat_globalmem.out_warp_execution_efficiency_heat_globalmem.out,49.9915
_Z12blend_kernelPfbS_S_,tex_cache_transactions,./heat_globalmem.out_tex_cache_transactions_heat_globalmem.out,2906031
_Z14float_to_colorPhPKf,tex_cache_transactions,./heat_globalmem.out_tex_cache_transactions_heat_globalmem.out,81148066
_Z17copy_const_kernelPfS_,tex_cache_transactions,./heat_globalmem.out_tex_cache_transactions_heat_globalmem.out,786432
_Z12blend_kernelPfbS_S_,local_load_throughput,./heat_globalmem.out_local_load_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_load_throughput,./heat_globalmem.out_local_load_throughput_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_load_throughput,./heat_globalmem.out_local_load_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,inst_issued,./heat_globalmem.out_inst_issued_heat_globalmem.out,66335398
